Name of all the Schools in the ULB,Location/Landmark,Contact Official,Office Contact,Whether Green Army Unit functioning (Yes/No),Ward No.
Pongummoode LPS,Medical College P.O 695 011,HM/Principal,9496742412,,
S.C.P Home LPS,Thiruvananthapuram-23,HM/Principal,9446174050,,
Valiaudeswaram LPS,Anayara P.O Trivandrum 29,HM/Principal,9495408934,,
Vattiyoorkavu LPS,Vattiyoorkavu P.O 695 013,HM/Principal,9387781936,,
PullottukonamJayamatha LPS,PullottukonamNalanchira 30,HM/Principal,9495627918,,
Kochuveli St. Joseph's LPS,Titanium P.O Kochuveli- 21,HM/Principal,9495627314,,
NalanchiraSt.GorettisLPS,Nalanchira P.O 695 015,HM/Principal,9495627918,,
NanthancodeKindergration NLPS,NanthencodeKowdiar P.O 3,HM/Principal,9496749092,,
Palayam St. Joseph's LPS,VikshBhavan P.O Trivandrum 33,HM/Principal,9495500458,,
Paruthippara Holy Cross LPS,Muttada P.O Trivandrum 25,HM/Principal,9895151507,,
Pettah St. Anne's LPS,PallimukkuTrivandrm 24,HM/Principal,9497265451,,
ShanghumughomStPeters . LPS,Beech P.O  695 007,HM/Principal,9495416508,,
Trivandrum Holy Angels LPS,Trivandrum 1,HM/Principal,9497848249,,
Vallakkadavu LPS,Vallakkadavu P.O 695 008,HM/Principal,9526199842,,
Vettikonam LFMSCLPS,Manikanteswaram P.O 13,HM/Principal,9446684927,,
Vettucadu St. May's LPS,Titanium P.O Kochuveli- 21,HM/Principal,7736529185,,
JawaharNagar LPS,Jawahar Nagar P.O Trivandrum- 41,HM/Principal,9847121840,,
Pattom St. Mary's EM LPS,Pattom P.O Trivandrum-4,HM/Principal,8547954577,,
Sreekariyam Bethlehem EM LPS,Thiruvananthapuram-17,HM/Principal,9207382641,,
Attinkuzhy LPS,Kazhakuttom P.O 695582,HM/Principal,9746866154,,
Chenkottukonam LPS,Thundathil P.O 695 581,HM/Principal,9947686484,,
Kanjickal LPS,Powdikonam P.O 695 587,HM/Principal,9349752711,,
Kariyam LPS,Sreekariam P.O 695 017,HM/Principal,9048883543,,
Kulathoor HSLPS,Kulathoor P.O 695 583,HM/Principal,9495409224,,
Kulathoor LPS,Kulathoor P.O 695 583,HM/Principal,9446048225,,
Kulathoor RLPS,Kulathoor P.O 695 583,HM/Principal,9495556730,,
Manackkal LPS,Chempazhanthy P.O 695 587,HM/Principal,8907204820,,
