Date,Waste generated (kg)
07-05-2019,7
08-05-2019,11
09-05-2019,16.5
10-05-2019,
11-05-2019,11.5
12-05-2019,8
13-05-2019,5
14-05-2019,2
15-05-2019,15
16-05-2019,1
17-05-2019,12.5
18-05-2019,1
19-05-2019,2
20-05-2019,6
21-05-2019,
22-05-2019,17
23-05-2019,3
24-05-2019,3.5
25-05-2019,
26-05-2019,1
27-05-2019,13
28-05-2019,11
29-05-2019,5.5
30-05-2019,2
31-05-2019,13
01-06-2019,3
02-06-2019,4
03-06-2019,3
04-06-2019,
05-06-2019,24
06-06-2019,13.5
07-06-2019,19
08-06-2019,3
09-06-2019,3.5
10-06-2019,5
11-06-2019,
12-06-2019,5
13-06-2019,
14-06-2019,
15-06-2019,3
